index,lat,lon,unk_u16,speed_raw
415,41.56665,44.949358,894,173
416,41.566663,44.949336,868,173
417,41.566677,44.949316,843,173
418,41.566691,44.949296,817,173
419,41.566704,44.949276,793,173
420,41.566716,44.949258,763,173
421,41.566727,44.949239,739,173
422,41.566739,44.949223,715,173
423,41.566751,44.949206,692,173
424,41.566762,44.949189,669,174
425,41.566774,44.949176,643,175
426,41.566786,44.949163,616,177
427,41.566797,44.949151,595,180
428,41.566811,44.949143,580,182
429,41.566824,44.949134,571,185
430,41.566836,44.949128,562,187
431,41.566849,44.949123,556,190
432,41.566864,44.949121,553,194
433,41.566877,44.949119,545,196
434,41.566891,44.949119,536,199
435,41.566902,44.949121,526,2
436,41.566916,44.949126,532,5
437,41.566929,44.949131,522,8
438,41.566941,44.949138,514,11
439,41.566951,44.949146,512,15
440,41.566961,44.949156,515,17
441,41.566971,44.949166,512,20
442,41.566981,44.949179,515,23
443,41.566987,44.949194,515,27
444,41.566994,44.949209,520,30
445,41.567001,44.949224,530,34
446,41.567006,44.949243,548,37
447,41.567009,44.949261,548,40
448,41.567012,44.949278,549,42
449,41.567014,44.949298,566,44
450,41.567014,44.949318,584,48
451,41.567014,44.949336,582,49
452,41.567012,44.949358,606,51
453,41.567009,44.949378,610,53
454,41.567006,44.949398,625,56
455,41.566999,44.949416,625,59
456,41.566994,44.949436,636,61
457,41.566986,44.949456,645,64
458,41.566976,44.949473,651,67
459,41.566966,44.949491,661,69
460,41.566954,44.949508,681,72
461,41.566941,44.949524,693,74
462,41.566927,44.949541,709,76
463,41.566914,44.949556,727,77
464,41.566899,44.949571,742,79
465,41.566882,44.949584,757,80
466,41.566867,44.949599,770,80
467,41.566851,44.949614,785,81
468,41.566832,44.949628,798,81
469,41.566816,44.949643,815,81
470,41.566799,44.949658,823,82
471,41.566781,44.949673,837,82
472,41.566762,44.949688,852,82
473,41.566744,44.949703,862,81
474,41.566726,44.949719,873,81
475,41.566709,44.949736,879,80
476,41.566691,44.949753,869,80
477,41.566674,44.949771,855,79
478,41.566658,44.949788,841,79
479,41.566641,44.949804,821,79
480,41.566626,44.949821,806,78
481,41.566611,44.949838,781,78
482,41.566596,44.949854,770,77
483,41.566583,44.949869,745,77
484,41.566571,44.949886,725,75
485,41.566558,44.949903,702,74
486,41.566548,44.949919,674,72
487,41.566538,44.949938,666,71
488,41.56653,44.949956,660,69
489,41.566521,44.949974,648,67
490,41.566515,44.949994,641,65
491,41.56651,44.950015,647,63
492,41.566505,44.950035,632,61
493,41.566501,44.950055,628,59
494,41.5665,44.950075,608,55
495,41.5665,44.950095,596,52
496,41.566501,44.950115,601,49
497,41.566505,44.950135,594,45
498,41.56651,44.950155,597,42
499,41.566515,44.950173,589,40
500,41.566521,44.950191,585,37
501,41.566528,44.950208,592,34
502,41.566536,44.950225,583,32
503,41.566546,44.950238,578,28
504,41.566556,44.950251,574,26
505,41.566568,44.950265,576,23
506,41.56658,44.950275,569,20
507,41.566593,44.950283,561,17
508,41.566606,44.950291,564,14
509,41.56662,44.950296,562,11
510,41.566633,44.950301,562,8
511,41.566648,44.950305,581,5
512,41.566663,44.950306,588,4
513,41.566677,44.950305,586,0
514,41.566694,44.950303,603,198
515,41.566709,44.9503,602,194
516,41.566724,44.950293,614,191
517,41.566739,44.950285,626,189
518,41.566752,44.950275,637,186
519,41.566767,44.950265,644,183
520,41.566779,44.95025,647,180
521,41.566792,44.950235,663,177
522,41.566804,44.95022,684,176
523,41.566816,44.950201,690,173
524,41.566827,44.950183,707,171
525,41.566837,44.950163,716,169
526,41.566846,44.950141,726,167
527,41.566854,44.95012,742,165
528,41.566862,44.950098,751,165
529,41.566871,44.950075,761,165
530,41.566881,44.950053,773,165
531,41.566891,44.95003,787,166
532,41.566902,44.950008,796,167
533,41.566912,44.949984,806,168
534,41.566926,44.949963,816,169
535,41.566937,44.949941,827,170
536,41.566951,44.949919,839,171
537,41.566966,44.949898,850,172
538,41.566981,44.949876,858,173
539,41.566994,44.949854,869,173
540,41.567011,44.949834,880,174
541,41.567026,44.949813,887,174
542,41.567042,44.949793,896,175
543,41.567059,44.949771,905,175
544,41.567076,44.949751,911,176
545,41.567092,44.949731,904,176
546,41.567107,44.949711,880,176
547,41.567122,44.949691,858,175
548,41.567137,44.949671,837,174
549,41.567151,44.949651,833,173
550,41.567164,44.949629,831,171
551,41.567176,44.949606,829,170
552,41.567186,44.949583,825,168
553,41.567196,44.949559,824,166
554,41.567204,44.949534,818,165
555,41.567212,44.949509,814,163
556,41.567217,44.949486,788,160
557,41.567222,44.949459,781,158
558,41.567224,44.949436,755,156
559,41.567226,44.949411,745,152
560,41.567226,44.949386,752,152
561,41.567227,44.949361,743,151
562,41.567229,44.949336,752,152
563,41.567231,44.949311,746,153
564,41.567234,44.949288,741,155
565,41.567239,44.949264,734,156
566,41.567246,44.949241,723,159
567,41.567252,44.949219,728,161
568,41.567259,44.949198,717,162
569,41.567267,44.949176,713,164
570,41.567277,44.949156,693,166
571,41.567287,44.949138,700,169
572,41.567299,44.949119,704,170
573,41.567311,44.949101,709,172
574,41.567322,44.949083,720,173
575,41.567337,44.949068,731,176
576,41.567351,44.949051,738,177
577,41.567366,44.949036,748,178
578,41.567382,44.949021,766,180
579,41.567401,44.949009,778,182
580,41.567417,44.948996,790,183
581,41.567436,44.948984,807,185
582,41.567456,44.948974,817,186
583,41.567476,44.948964,830,187
584,41.567496,44.948954,845,188
585,41.567516,44.948944,855,188
586,41.567536,44.948936,864,189
587,41.567557,44.948926,878,189
588,41.567579,44.948918,887,189
589,41.567599,44.948908,893,190
590,41.567621,44.948899,901,190
591,41.567644,44.948889,914,190
592,41.567666,44.948881,915,190
593,41.567687,44.948871,930,190
594,41.567709,44.948861,927,190
595,41.567731,44.948851,932,189
596,41.567754,44.948841,941,189
597,41.567776,44.948831,944,189
598,41.567799,44.948821,952,189
599,41.567821,44.948809,954,189
600,41.567844,44.948799,957,188
601,41.567866,44.948788,962,188
602,41.567889,44.948776,963,188
603,41.567911,44.948764,971,188
604,41.567934,44.948751,971,187
605,41.567957,44.948739,974,187
606,41.567979,44.948726,964,187
607,41.568001,44.948714,961,187
608,41.568022,44.948703,941,187
609,41.568042,44.948689,920,186
610,41.568064,44.948678,902,186
611,41.568082,44.948666,876,186
612,41.568102,44.948653,860,185
613,41.568119,44.948639,837,184
