index,lat,lon,unk_u16,speed_raw
105,41.566629,44.950696,800,100
106,41.566614,44.950681,800,100
107,41.566598,44.950666,800,100
108,41.566582,44.950653,800,100
109,41.566566,44.950639,800,100
110,41.56655,44.950626,800,100
111,41.566534,44.950612,800,100
112,41.566518,44.950599,800,100
113,41.566502,44.950585,800,100
114,41.566486,44.950572,800,100
115,41.56647,44.950559,800,100
116,41.566454,44.950545,800,100
117,41.566439,44.950531,800,100
118,41.566423,44.950517,800,100
119,41.566408,44.950502,800,100
120,41.566394,44.950485,800,100
121,41.56638,44.950468,800,100
122,41.566366,44.95045,800,100
123,41.566354,44.950431,800,100
124,41.566342,44.950412,800,100
125,41.566331,44.950392,800,100
126,41.56632,44.950371,800,100
127,41.566311,44.950349,800,100
128,41.566303,44.950326,800,100
129,41.566295,44.950303,800,100
130,41.566288,44.950279,800,100
131,41.566282,44.950256,800,100
132,41.566278,44.950231,800,100
133,41.566274,44.950206,800,100
134,41.566271,44.950181,800,100
135,41.56627,44.950156,800,100
136,41.566269,44.950131,800,100
137,41.56627,44.950106,800,100
138,41.566272,44.950081,800,100
139,41.566275,44.950056,800,100
140,41.566279,44.950031,800,100
141,41.566283,44.950007,800,100
142,41.566289,44.949983,800,100
143,41.566296,44.949959,800,100
144,41.566303,44.949936,800,100
145,41.566312,44.949914,800,100
146,41.566321,44.949892,800,100
147,41.56633,44.94987,800,100
148,41.56634,44.949848,800,100
149,41.56635,44.949827,800,100
150,41.566361,44.949806,800,100
151,41.566372,44.949786,800,100
152,41.566384,44.949766,800,100
153,41.566395,44.949746,800,100
154,41.566407,44.949726,800,100
155,41.566418,44.949706,800,100
156,41.56643,44.949687,800,100
157,41.566442,44.949667,800,100
158,41.566454,44.949648,800,100
159,41.566466,44.949628,800,100
160,41.566478,44.949609,800,100
161,41.56649,44.949589,800,100
162,41.566503,44.94957,800,100
163,41.566515,44.949551,800,100
164,41.566527,44.949532,800,100
165,41.56654,44.949513,800,100
166,41.566552,44.949494,800,100
167,41.566565,44.949475,800,100
168,41.566577,44.949456,800,100
169,41.56659,44.949437,800,100
170,41.566602,44.949418,800,100
171,41.566615,44.949399,800,100
172,41.566627,44.949381,800,100
173,41.56664,44.949362,800,100
174,41.566652,44.949343,800,100
